seed,p_value,expected_in_degree,realized_degree_mean,realized_degree_min,realized_degree_max,synapse_count,plastic_weight_count,initial_spectral_radius,n_training_trials,final_heldout_nmse,final_heldout_raw_mse,learning_curve_auc,final_weight_change_fro,final_spectral_radius,final_d_pr,final_d90
4,0.4,79.60000000000001,79.915,61,98,15983,15983,1.5732795108330402,60,0.0592571019141841,0.0011851420382836824,0.2424224614930979,15.291150153113026,1.957648250419369,2.5146027955918613,3
5,0.05,9.950000000000001,10.57,4,19,2114,2114,1.6184323054030898,60,0.4567832049326371,0.009135664098652744,0.6520294891587248,16.737678072876754,2.0516377375578836,3.979046163869941,13
5,0.1,19.900000000000002,20.535,9,35,4107,4107,1.5928714941208362,60,0.42779403890943646,0.00855588077818873,0.5311492001002454,15.834498246192876,1.9165743731457299,2.8465820414607084,7
5,0.2,39.800000000000004,40.175,26,53,8035,8035,1.606734879727612,60,0.33284783739065016,0.006656956747813004,0.4279573092794054,15.570646183868824,1.8830541984438882,2.8169933269903233,4
5,0.4,79.60000000000001,79.915,63,96,15983,15983,1.5125041571738056,60,0.20530894890950946,0.00410617897819019,0.5119648572818278,18.587340997520222,2.4621416547343813,2.577668848099865,3
6,0.05,9.950000000000001,9.645,3,19,1929,1929,1.6288936480071101,60,0.3685129206930042,0.007370258413860084,0.668220699204,16.078160422156714,1.9305560560308404,3.4365976192530243,9
6,0.1,19.900000000000002,19.865,11,31,3973,3973,1.5259065146384359,60,0.34516759739519404,0.0069033519479038815,0.5483062664642965,16.5034789396857,2.089409384499219,2.924556872296491,6
6,0.2,39.800000000000004,40.06,25,60,8012,8012,1.508095909836786,60,0.32231497289298816,0.006446299457859764,0.36705360839110457,16.312358108459154,2.00492361417357,2.4193779623484444,4
6,0.4,79.60000000000001,80.155,59,98,16031,16031,1.5787823097886682,60,0.14821033885239918,0.002964206777047984,0.29142620997609975,17.35454265366231,2.197263887437075,2.4617765535288516,3
7,0.05,9.950000000000001,9.81,0,19,1962,1962,1.4770066984621784,60,0.519399439494515,0.0103879887898903,0.7707378026475787,16.90454975430095,2.056927248250896,3.7074896693289023,11
7,0.1,19.900000000000002,19.62,8,30,3924,3924,1.5793744679609796,60,0.2682719428250055,0.005365438856500111,0.6075587052961723,16.225826771937097,1.9877214214340106,2.92193728616078,7
7,0.2,39.800000000000004,39.33,23,55,7866,7866,1.618571376827159,60,0.41722556701372715,0.008344511340274544,0.5339623814912919,14.866271382703498,1.9289776670712706,2.8200458920370206,5
7,0.4,79.60000000000001,79.595,58,97,15919,15919,1.5988854482655057,60,0.12577786380418768,0.002515557276083754,0.5592747750700927,15.960706531422302,2.1674185651708644,2.500765722977319,3
