seed,p_value,expected_in_degree,realized_degree_mean,realized_degree_min,realized_degree_max,synapse_count,plastic_weight_count,initial_spectral_radius,checkpoint_trial,heldout_nmse,heldout_raw_mse,online_feedback_loss,weight_change_fro,spectral_radius,d_pr,d90,per_target_mse_json
0,0.05,9.950000000000001,9.87,3,19,1974,1974,1.49534179353181,0,1.0081604579000314,0.02016320915800063,nan,0.0,1.49534179353181,4.161438724175543,12,"{""0"": 0.01939779880024295, ""1"": 0.022245084165017248, ""2"": 0.020246737073061342, ""3"": 0.019932161351452968, ""4"": 0.02001185359295906, ""5"": 0.019145619965270207}"
0,0.05,9.950000000000001,9.87,3,19,1974,1974,1.49534179353181,5,1.3634593633026992,0.027269187266053988,1.184978430942171,11.696904430373383,2.0558558740842265,3.4220805481540273,9,"{""0"": 0.01615684579737972, ""1"": 0.04981555262643135, ""2"": 0.043086718362702045, ""3"": 0.04678024401375027, ""4"": 0.006538760847440846, ""5"": 0.0012370019486196867}"
0,0.05,9.950000000000001,9.87,3,19,1974,1974,1.49534179353181,10,1.1803560173749836,0.023607120347499674,11.050069910499175,13.928758970629454,2.2472599389653687,3.7739602090698967,10,"{""0"": 0.02280761108139151, ""1"": 0.03459377392142175, ""2"": 0.03581020738473514, ""3"": 0.031957304011992684, ""4"": 0.010063220585534743, ""5"": 0.006410605099922228}"
0,0.05,9.950000000000001,9.87,3,19,1974,1974,1.49534179353181,15,1.0305991169424424,0.020611982338848853,14.26201751355748,14.661753576528211,2.2712456864242863,3.758033938946405,11,"{""0"": 0.02249239990461249, ""1"": 0.024452561286245678, ""2"": 0.031319983929540454, ""3"": 0.029325711098270018, ""4"": 0.0059686303003273974, ""5"": 0.01011260751409706}"
0,0.05,9.950000000000001,9.87,3,19,1974,1974,1.49534179353181,20,0.7560539281628691,0.015121078563257385,3.9234081543251405,14.903176318564688,2.1722464939139794,4.003472172317512,11,"{""0"": 0.021648512549592335, ""1"": 0.01768900714823248, ""2"": 0.02078425547774029, ""3"": 0.017898745674068784, ""4"": 0.004231604352582284, ""5"": 0.008474346177328135}"
0,0.05,9.950000000000001,9.87,3,19,1974,1974,1.49534179353181,25,0.6826219284414099,0.0136524385688282,9.998928120846834,14.885213783355338,2.1234536077301516,4.191026965900827,12,"{""0"": 0.016367259706589248, ""1"": 0.021105724575612266, ""2"": 0.013738333238923858, ""3"": 0.02003250519061427, ""4"": 0.00606999801577923, ""5"": 0.004600810685450332}"
0,0.05,9.950000000000001,9.87,3,19,1974,1974,1.49534179353181,30,0.7198663458109898,0.0143973269162198,9.862731631085774,15.274979955253826,2.149471368603644,4.0352733122375435,11,"{""0"": 0.018837141740254255, ""1"": 0.023565912511086008, ""2"": 0.012630733253719948, ""3"": 0.02007601310994316, ""4"": 0.0047980390866925226, ""5"": 0.006476121795622909}"
0,0.05,9.950000000000001,9.87,3,19,1974,1974,1.49534179353181,35,0.7404923527108724,0.01480984705421745,6.495278649258173,15.391629663498989,2.1338345121755307,4.117877117038067,11,"{""0"": 0.02075285059571327, ""1"": 0.020888088063489636, ""2"": 0.016334412825922108, ""3"": 0.02220997284099345, ""4"": 0.005107488388546051, ""5"": 0.0035662696106401838}"
0,0.05,9.950000000000001,9.87,3,19,1974,1974,1.49534179353181,40,0.6759291213575468,0.013518582427150937,38.670027175460795,15.765316798102978,2.114906158042956,4.2418061619256,12,"{""0"": 0.02299107296170349, ""1"": 0.015385108802018205, ""2"": 0.020926078997236468, ""3"": 0.012985022633830334, ""4"": 0.005302592588993983, ""5"": 0.003521618579123148}"
0,0.05,9.950000000000001,9.87,3,19,1974,1974,1.49534179353181,45,0.6252204909552342,0.012504409819104686,1.3275460830053865,16.063241609968465,2.141409093706893,4.315154534946047,12,"{""0"": 0.01862729966410019, ""1"": 0.014645530178731884, ""2"": 0.022157165299249645, ""3"": 0.010634515100638509, ""4"": 0.005359749838917811, ""5"": 0.0036021988329900715}"
0,0.05,9.950000000000001,9.87,3,19,1974,1974,1.49534179353181,50,0.6421715357415068,0.012843430714830137,6.066526118680328,16.193944700784805,2.188079826509223,4.257338461523198,12,"{""0"": 0.022523658040518348, ""1"": 0.013367237128687506, ""2"": 0.02343274056138798, ""3"": 0.008797825831880187, ""4"": 0.005269980613094522, ""5"": 0.003669142113412293}"
0,0.05,9.950000000000001,9.87,3,19,1974,1974,1.49534179353181,55,0.5326814566023762,0.010653629132047527,50.353384719123675,16.39045731917688,2.167387678351275,4.50369564747793,12,"{""0"": 0.0156122411350721, ""1"": 0.013184887947796953, ""2"": 0.0168478455134336, ""3"": 0.00891465089485092, ""4"": 0.004829229342015044, ""5"": 0.004532919959116538}"
0,0.05,9.950000000000001,9.87,3,19,1974,1974,1.49534179353181,60,0.518943532474646,0.010378870649492921,3.5663066437374153,16.62670539762946,2.186204672125432,4.367644487740178,12,"{""0"": 0.01846333758173959, ""1"": 0.012851931588761112, ""2"": 0.013502806118508676, ""3"": 0.008061088917447237, ""4"": 0.00396316535720422, ""5"": 0.005430894333296689}"
0,0.1,19.900000000000002,20.28,10,31,4056,1974,1.5261308668644207,0,1.0523654394979627,0.02104730878995926,nan,0.0,1.5261308668644207,5.037788459565847,14,"{""0"": 0.02007256460092364, ""1"": 0.02234553493592154, ""2"": 0.022081885917239946, ""3"": 0.02120786429648141, ""4"": 0.021529426763822964, ""5"": 0.019046576225366048}"
0,0.1,19.900000000000002,20.28,10,31,4056,1974,1.5261308668644207,5,1.1025304409085588,0.022050608818171176,9.25417951038617,13.200577462453648,1.9315187034722288,2.870448936364748,10,"{""0"": 0.02674107208541342, ""1"": 0.013354887309215399, ""2"": 0.027180971672861216, ""3"": 0.04542069182453927, ""4"": 0.01657228007836411, ""5"": 0.003033749938633662}"
0,0.1,19.900000000000002,20.28,10,31,4056,1974,1.5261308668644207,10,1.0552991264038165,0.021105982528076335,3.473048287958127,15.00343912664092,1.9553065260708664,3.251480790683153,10,"{""0"": 0.025134599994072283, ""1"": 0.01741879310527755, ""2"": 0.042820752536591275, ""3"": 0.014764763311445444, ""4"": 0.01675048153060087, ""5"": 0.009746504690470585}"
0,0.1,19.900000000000002,20.28,10,31,4056,1974,1.5261308668644207,15,0.9763828419169918,0.019527656838339836,7.809980090868899,15.090890673840178,2.008058159120136,3.4428347153946723,11,"{""0"": 0.028572438500823104, ""1"": 0.010873099365314307, ""2"": 0.03903756361582341, ""3"": 0.007678933965814473, ""4"": 0.014982204325217607, ""5"": 0.01602170125704613}"
0,0.1,19.900000000000002,20.28,10,31,4056,1974,1.5261308668644207,20,0.9443437326243819,0.01888687465248764,9.089997906509412,15.564632295631714,2.048277587205368,3.1785196496445685,11,"{""0"": 0.03167694763710721, ""1"": 0.011981463088885766, ""2"": 0.030265939415332493, ""3"": 0.009573372281543641, ""4"": 0.01217846110202366, ""5"": 0.017645064390033077}"
0,0.1,19.900000000000002,20.28,10,31,4056,1974,1.5261308668644207,25,0.8334089946556332,0.016668179893112665,29.422885077326658,15.903921947521471,2.024093973639318,3.394114560915738,12,"{""0"": 0.02997030259671148, ""1"": 0.014519255509032533, ""2"": 0.017167871699226747, ""3"": 0.011857896566016702, ""4"": 0.012586177403580274, ""5"": 0.013907575584108281}"
0,0.1,19.900000000000002,20.28,10,31,4056,1974,1.5261308668644207,30,0.8583348743137893,0.01716669748627579,36.535487738073606,16.343756204878364,2.0355287740262304,2.996522300865455,11,"{""0"": 0.031263662529187886, ""1"": 0.015362490120606493, ""2"": 0.013005860082749987, ""3"": 0.012442158706944647, ""4"": 0.010897820475288405, ""5"": 0.020028193002877313}"
0,0.1,19.900000000000002,20.28,10,31,4056,1974,1.5261308668644207,35,0.7698778825218602,0.015397557650437205,62.089679120271875,16.12768419904011,2.006166340771414,3.2147915988545317,12,"{""0"": 0.021718180647943286, ""1"": 0.01318608499493753, ""2"": 0.017530308255310358, ""3"": 0.011094613746811028, ""4"": 0.009221024851196033, ""5"": 0.019635133406424986}"
0,0.1,19.900000000000002,20.28,10,31,4056,1974,1.5261308668644207,40,0.7183526132126405,0.014367052264252812,13.57338059693932,16.264137958504534,1.9762608398449413,2.9178783587873935,11,"{""0"": 0.022881370092026863, ""1"": 0.012677264990464291, ""2"": 0.019086683196165223, ""3"": 0.010660216018543955, ""4"": 0.008049782959979403, ""5"": 0.01284699632833714}"
0,0.1,19.900000000000002,20.28,10,31,4056,1974,1.5261308668644207,45,0.702508212823801,0.014050164256476023,15.455108844528956,16.265465580882157,1.97531605984357,2.8516551878508425,11,"{""0"": 0.02503075682055873, ""1"": 0.011595692705621895, ""2"": 0.014177244160154154, ""3"": 0.01171676412284535, ""4"": 0.007406584952602524, ""5"": 0.014373942777073498}"
0,0.1,19.900000000000002,20.28,10,31,4056,1974,1.5261308668644207,50,0.7299016450944669,0.01459803290188934,8.605366033272857,16.23489835410228,1.9689097409047003,3.286854202316697,12,"{""0"": 0.02354571969367019, ""1"": 0.015276891651220245, ""2"": 0.016968985508161883, ""3"": 0.009507626041001695, ""4"": 0.0071229001066772935, ""5"": 0.015166074410604719}"
0,0.1,19.900000000000002,20.28,10,31,4056,1974,1.5261308668644207,55,0.6440979804740582,0.012881959609481165,11.410827056366397,16.37449194343727,1.98119960524109,3.6120857374582864,13,"{""0"": 0.021815214024118266, ""1"": 0.011022835243160459, ""2"": 0.013701631844016163, ""3"": 0.009714230402480841, ""4"": 0.006867029391858294, ""5"": 0.014170816751252974}"
0,0.1,19.900000000000002,20.28,10,31,4056,1974,1.5261308668644207,60,0.5607645631156212,0.011215291262312424,9.472066837665633,16.36239654215207,1.9676092268232381,3.2504163087637914,12,"{""0"": 0.01797898002225938, ""1"": 0.01049737453931331, ""2"": 0.01076366295494234, ""3"": 0.010208793168632138, ""4"": 0.0056894633352359844, ""5"": 0.01215347355349139}"
0,0.2,39.800000000000004,39.795,28,55,7959,1974,1.590233670152282,0,1.0176576351735855,0.02035315270347171,nan,0.0,1.590233670152282,8.048727102259544,14,"{""0"": 0.01969692597644666, ""1"": 0.021540779339664, ""2"": 0.02186483368514875, ""3"": 0.01872077793697389, ""4"": 0.021926254624579405, ""5"": 0.01836934465801757}"
0,0.2,39.800000000000004,39.795,28,55,7959,1974,1.590233670152282,5,0.8611288382836226,0.017222576765672456,1.2489954897076265,11.8553216853719,1.9145084169825133,2.875429391226598,10,"{""0"": 0.016229433394328745, ""1"": 0.028509012811308694, ""2"": 0.011787411909267687, ""3"": 0.0257713453489133, ""4"": 0.01679008321482261, ""5"": 0.0042481739153936784}"
0,0.2,39.800000000000004,39.795,28,55,7959,1974,1.590233670152282,10,0.6692943996225742,0.013385887992451486,17.66133201596123,13.572398740126753,1.978295106705668,3.3156433602556614,11,"{""0"": 0.01579203868411575, ""1"": 0.012321943947961963, ""2"": 0.006353692272790671, ""3"": 0.022046310307544812, ""4"": 0.01303885594660915, ""5"": 0.010762486795686563}"
0,0.2,39.800000000000004,39.795,28,55,7959,1974,1.590233670152282,15,0.6464387095700078,0.012928774191400157,8.324053480691504,14.649921515666733,1.9713463867562515,3.5888383101815053,13,"{""0"": 0.010096157478297726, ""1"": 0.014052813375455303, ""2"": 0.010580356904642485, ""3"": 0.02568643872302532, ""4"": 0.009202045763079156, ""5"": 0.007954832903900946}"
0,0.2,39.800000000000004,39.795,28,55,7959,1974,1.590233670152282,20,0.6252210735797039,0.01250442147159408,2.0950184081927743,15.592319194660954,1.9983435944929848,3.939824375882938,14,"{""0"": 0.008961632322041281, ""1"": 0.011585905533765487, ""2"": 0.006199510459769585, ""3"": 0.022059174542312324, ""4"": 0.014251105543428167, ""5"": 0.011969200428247641}"
