seed,p_value,expected_in_degree,realized_degree_mean,realized_degree_min,realized_degree_max,synapse_count,plastic_weight_count,initial_spectral_radius,n_training_trials,final_heldout_nmse,final_heldout_raw_mse,learning_curve_auc,final_weight_change_fro,final_spectral_radius,final_d_pr,final_d90
2,0.4,79.60000000000001,79.745,62,103,15949,1939,1.5818073183062324,60,0.3839288573845115,0.0076785771476902305,0.4546602295006536,15.100052586239526,2.131033813535487,2.7556752191288,9
3,0.05,9.950000000000001,10.375,3,17,2075,2075,1.605190234982719,60,0.4598121784251765,0.00919624356850353,0.7036535289946627,15.880999806054884,2.129997235045362,3.7465277063573432,13
3,0.1,19.900000000000002,20.3,8,30,4060,2075,1.5210844010366606,60,0.47362708154535105,0.009472541630907022,0.5962391441444086,15.502110440258603,2.141372178197429,2.6827676816379524,8
3,0.2,39.800000000000004,39.87,24,55,7974,2075,1.5386710773925614,60,0.5244212325094174,0.01048842465018835,0.6520276637271791,15.649572064904829,1.9365002407216088,3.23986400405143,8
3,0.4,79.60000000000001,79.135,60,97,15827,2075,1.620138763983731,60,0.6976018535437926,0.013952037070875853,0.7397070901543581,14.782103258231418,1.9828894169040339,3.6567823157497554,10
4,0.05,9.950000000000001,9.82,4,19,1964,1964,1.5874030774091887,60,0.3200346328762833,0.006400692657525667,0.4609284416423651,16.417070070934777,1.9843991775691576,3.0664736686364784,8
4,0.1,19.900000000000002,19.945,10,33,3989,1964,1.5407984626142002,60,0.5167553732315658,0.010335107464631317,0.652426779680987,17.04225924597513,2.056221510433278,4.104903695855011,14
4,0.2,39.800000000000004,39.95,26,58,7990,1964,1.5413045604875095,60,0.33503212336638893,0.0067006424673277795,0.5208523810129139,16.621421571322415,2.2003603714403255,2.9924055972649612,9
4,0.4,79.60000000000001,79.915,61,98,15983,1964,1.5732795108330402,60,0.49138917612722893,0.00982778352254458,0.6106612821102643,17.439991533464735,2.073737217307367,3.2632615200398822,9
5,0.05,9.950000000000001,10.57,4,19,2114,2114,1.6184323054030898,60,0.4567832049326371,0.009135664098652744,0.6520294891587248,16.737678072876754,2.0516377375578836,3.979046163869941,13
5,0.1,19.900000000000002,20.535,9,35,4107,2114,1.5928714941208362,60,0.4226294075384056,0.008452588150768114,0.6715009070025023,16.876150665676082,1.965557601000165,3.146820705346949,9
5,0.2,39.800000000000004,40.175,26,53,8035,2114,1.606734879727612,60,0.3657273512731115,0.0073145470254622315,0.5361895584693496,16.08191119879406,1.995573197272611,3.446853053217608,10
5,0.4,79.60000000000001,79.915,63,96,15983,2114,1.5125041571738056,60,0.7748974106299585,0.015497948212599174,0.9050904155601811,16.963457262972543,2.0626707578614147,6.892832737993375,18
6,0.05,9.950000000000001,9.645,3,19,1929,1929,1.6288936480071101,60,0.3685129206930042,0.007370258413860084,0.668220699204,16.078160422156714,1.9305560560308404,3.4365976192530243,9
6,0.1,19.900000000000002,19.865,11,31,3973,1929,1.5259065146384359,60,0.6199018381014686,0.012398036762029373,0.8855926234163226,15.926724302596593,1.975203714726996,3.8812817584327117,13
6,0.2,39.800000000000004,40.06,25,60,8012,1929,1.508095909836786,60,0.5758766723493971,0.011517533446987943,0.7674926327571426,15.90427641359051,2.0940458590495257,3.8824571248734405,11
6,0.4,79.60000000000001,80.155,59,98,16031,1929,1.5787823097886682,60,0.3359362005312643,0.006718724010625287,0.4394800958154744,15.60692902783867,2.2247266301484303,3.167444119675919,8
7,0.05,9.950000000000001,9.81,0,19,1962,1962,1.4770066984621784,60,0.519399439494515,0.0103879887898903,0.7707378026475787,16.90454975430095,2.056927248250896,3.7074896693289023,11
7,0.1,19.900000000000002,19.62,8,30,3924,1962,1.5793744679609796,60,0.667249555218261,0.013344991104365224,0.7735388129009546,15.922105942149305,1.9066561970885583,2.746229848798165,9
7,0.2,39.800000000000004,39.33,23,55,7866,1962,1.618571376827159,60,0.5052568821556586,0.010105137643113172,0.703319239013615,15.041790904032316,1.8987232010807331,2.6227777376500754,10
7,0.4,79.60000000000001,79.595,58,97,15919,1962,1.5988854482655057,60,0.6790337495883468,0.013580674991766939,0.8678703549135416,16.642555844074163,2.008251408090471,2.7930187609470094,11
