seed,p_value,expected_in_degree,realized_degree_mean,realized_degree_min,realized_degree_max,synapse_count,plastic_weight_count,initial_spectral_radius,checkpoint_trial,heldout_nmse,heldout_raw_mse,online_feedback_loss,weight_change_fro,spectral_radius,d_pr,d90,per_target_mse_json
0,0.05,4.95,4.96,1,13,496,496,1.5440883022913219,0,1.032278900535597,0.020645578010711946,nan,0.0,1.5440883022913219,5.808343020581732,8,"{""0"": 0.01969020900264654, ""1"": 0.019577451928884458, ""2"": 0.021899416542382387, ""3"": 0.021368539857419547, ""4"": 0.020967813105837, ""5"": 0.020370037627101756}"
0,0.05,4.95,4.96,1,13,496,496,1.5440883022913219,5,1.13884661904473,0.022776932380894604,18.26069656263692,10.159616926555776,2.150358826638108,2.2259130653818877,4,"{""0"": 0.013354156970220549, ""1"": 0.027597241339535568, ""2"": 0.006887712623797834, ""3"": 0.02530691332693713, ""4"": 0.028185318382752213, ""5"": 0.03533025164212434}"
0,0.05,4.95,4.96,1,13,496,496,1.5440883022913219,10,1.10117564018752,0.022023512803750398,81.14831392712348,10.695164896282655,2.096084280792609,2.713973101412851,4,"{""0"": 0.017599261177274866, ""1"": 0.017227293817915455, ""2"": 0.010109866756315889, ""3"": 0.024378665298056733, ""4"": 0.029882366008367512, ""5"": 0.03294362376457193}"
0,0.05,4.95,4.96,1,13,496,496,1.5440883022913219,15,1.253684800449944,0.02507369600899888,40.78287239291485,11.353751821244158,2.17011396714776,1.867283901927943,5,"{""0"": 0.02099983002771618, ""1"": 0.022415591506975446, ""2"": 0.005867563421809922, ""3"": 0.03427069303773778, ""4"": 0.025670425782089702, ""5"": 0.04121807227766427}"
0,0.05,4.95,4.96,1,13,496,496,1.5440883022913219,20,1.0463526853438343,0.02092705370687669,67.01184472476957,11.485881157193019,1.9881656561383745,3.652240311840695,7,"{""0"": 0.021869434254392237, ""1"": 0.01658481481973293, ""2"": 0.010342518126023464, ""3"": 0.0254632212529337, ""4"": 0.018507360786445416, ""5"": 0.03279497300173241}"
0,0.05,4.95,4.96,1,13,496,496,1.5440883022913219,25,0.968011873746598,0.019360237474931964,47.170348754726525,11.01365075744396,1.9144028883919566,4.329937685841088,7,"{""0"": 0.019844252946553394, ""1"": 0.014693826485605193, ""2"": 0.01431944837121581, ""3"": 0.02165060007561456, ""4"": 0.017816505612738422, ""5"": 0.027836791357864404}"
0,0.05,4.95,4.96,1,13,496,496,1.5440883022913219,30,0.9550426766896968,0.019100853533793937,51.94523660304938,11.093048207623655,1.8223280833684883,4.453477576328025,7,"{""0"": 0.01949320946881463, ""1"": 0.013105091320700762, ""2"": 0.020237135013615397, ""3"": 0.02103962638060362, ""4"": 0.019521975767518445, ""5"": 0.021208083251510773}"
0,0.05,4.95,4.96,1,13,496,496,1.5440883022913219,35,0.9525822572269317,0.019051645144538634,41.56193714073425,11.549075901084487,1.944742351016712,5.301317134735963,8,"{""0"": 0.018540378560218444, ""1"": 0.012515919271187361, ""2"": 0.018390006667937796, ""3"": 0.02193394771310528, ""4"": 0.017383989183667355, ""5"": 0.02554562947111557}"
0,0.05,4.95,4.96,1,13,496,496,1.5440883022913219,40,0.8937628964365614,0.01787525792873123,21.354065760698454,12.047222562416847,1.9267551254209934,4.918634943415181,8,"{""0"": 0.020398170557440108, ""1"": 0.010561349510847395, ""2"": 0.01893089321332787, ""3"": 0.02070283454847891, ""4"": 0.013852870530466521, ""5"": 0.022805429211826565}"
0,0.1,9.9,10.22,4,17,1022,1022,1.7989567664104926,0,1.0233109313642375,0.02046621862728475,nan,0.0,1.7989567664104926,4.711529517078792,7,"{""0"": 0.020461402748745285, ""1"": 0.01957540056901562, ""2"": 0.022020228222496323, ""3"": 0.02018605063068554, ""4"": 0.021546345136762273, ""5"": 0.01900788445600347}"
0,0.1,9.9,10.22,4,17,1022,1022,1.7989567664104926,5,1.492921268119856,0.029858425362397124,6.452936702575266,12.000867087824824,2.3452872242368414,1.6452039403677503,3,"{""0"": 0.0294430921341705, ""1"": 0.023664819255354817, ""2"": 0.01622224682435874, ""3"": 0.03992487453030649, ""4"": 0.04252069187297421, ""5"": 0.027374827557217967}"
0,0.1,9.9,10.22,4,17,1022,1022,1.7989567664104926,10,0.9696847206440976,0.019393694412881954,31.278181166403883,13.592870085910572,2.4040378913250264,2.4044693653422904,4,"{""0"": 0.02773687830092366, ""1"": 0.006167598492210888, ""2"": 0.016011906359528417, ""3"": 0.03266560548793339, ""4"": 0.016659019612497265, ""5"": 0.01712115822419811}"
0,0.1,9.9,10.22,4,17,1022,1022,1.7989567664104926,15,0.9922164139029336,0.019844328278058675,42.4599094011986,14.734606343609963,2.6005750741739044,2.3852170593824056,5,"{""0"": 0.02403582437407062, ""1"": 0.010149678374842831, ""2"": 0.009362213503339243, ""3"": 0.030984678890257855, ""4"": 0.025192995614592522, ""5"": 0.01934057891124899}"
0,0.1,9.9,10.22,4,17,1022,1022,1.7989567664104926,20,0.9759140139516677,0.019518280279033358,13.044070473708686,14.581973921703096,2.4730359596679947,2.824868724996574,5,"{""0"": 0.02265741862803374, ""1"": 0.011127038643984925, ""2"": 0.014585530458489112, ""3"": 0.03412456574990458, ""4"": 0.018965486482324344, ""5"": 0.015649641711463425}"
0,0.1,9.9,10.22,4,17,1022,1022,1.7989567664104926,25,0.8962874193858448,0.0179257483877169,17.566207494898425,15.011743073019614,2.4577930673087804,2.87953421265974,5,"{""0"": 0.022091575702242378, ""1"": 0.008006542701256978, ""2"": 0.015006984574724325, ""3"": 0.023828188932255395, ""4"": 0.020730248140524925, ""5"": 0.017890950275297367}"
