seed,p_value,expected_in_degree,realized_degree_mean,realized_degree_min,realized_degree_max,synapse_count,plastic_weight_count,initial_spectral_radius,checkpoint_trial,heldout_nmse,heldout_raw_mse,online_feedback_loss,weight_change_fro,spectral_radius,d_pr,d90,per_target_mse_json
0,0.1,9.9,10.22,4,17,1022,1022,1.7989567664104926,0,1.0252643150133682,0.020505286300267368,nan,0.0,1.7989567664104926,4.685380890175268,7,"{""0"": 0.020380860235554618, ""1"": 0.019084481529753672, ""2"": 0.022575943136335264, ""3"": 0.020026048830173886, ""4"": 0.021717782505542037, ""5"": 0.019246601564244726}"
0,0.1,9.9,10.22,4,17,1022,1022,1.7989567664104926,5,1.3685545434360333,0.027371090868720672,33.56344803136966,11.136931156696061,2.168921577759897,1.8590578193627976,3,"{""0"": 0.027018814404639064, ""1"": 0.040669401443109834, ""2"": 0.021392039881645678, ""3"": 0.02968868300586257, ""4"": 0.008418839305119467, ""5"": 0.037038767171947415}"
0,0.1,9.9,10.22,4,17,1022,1022,1.7989567664104926,10,1.2262453103613655,0.02452490620722731,80.91057499919312,13.32344049390744,2.166928412067659,1.9126229025174775,5,"{""0"": 0.04245949432895692, ""1"": 0.03317838359830795, ""2"": 0.004266561993723985, ""3"": 0.015991289248108546, ""4"": 0.013089719339938948, ""5"": 0.038163988734327546}"
0,0.1,9.9,10.22,4,17,1022,1022,1.7989567664104926,15,1.1425953181317579,0.02285190636263516,49.63569288266178,14.102410039976915,2.270298740462605,1.7484106661679022,5,"{""0"": 0.023967808396803774, ""1"": 0.02678374280904155, ""2"": 0.021185677450252027, ""3"": 0.01590826700653139, ""4"": 0.014679119729040943, ""5"": 0.03458682278414126}"
0,0.1,9.9,10.22,4,17,1022,1022,1.7989567664104926,20,0.99869008888566,0.019973801777713202,28.298506759035273,15.192096841259652,2.152875893089851,2.6783375331184383,8,"{""0"": 0.01574995124226386, ""1"": 0.01935772777581701, ""2"": 0.03549519139837108, ""3"": 0.019466123685326554, ""4"": 0.01912829939130243, ""5"": 0.010645517173198277}"
0,0.1,9.9,10.22,4,17,1022,1022,1.7989567664104926,25,0.974163831281609,0.019483276625632182,40.75034635835011,15.195255272324859,2.1468024096322984,2.2203253446927476,6,"{""0"": 0.020081829786740734, ""1"": 0.01393782989625413, ""2"": 0.033310576769756656, ""3"": 0.018434403225442677, ""4"": 0.01997740153472844, ""5"": 0.011157618540870445}"
0,0.1,9.9,10.22,4,17,1022,1022,1.7989567664104926,30,1.0628749334627474,0.02125749866925495,10.883631650367477,15.615291224307853,2.182299525372866,1.8215252123122503,5,"{""0"": 0.02430271418513179, ""1"": 0.011109077106951828, ""2"": 0.039202955634266824, ""3"": 0.020124324918428114, ""4"": 0.02537869364619541, ""5"": 0.0074272265245557325}"
0,0.1,9.9,10.22,4,17,1022,1022,1.7989567664104926,35,0.984929819394163,0.019698596387883262,49.358547525937496,15.953321170889096,2.228586846456,2.6975931024323647,6,"{""0"": 0.02152489502524022, ""1"": 0.012329269203111908, ""2"": 0.03362367614145338, ""3"": 0.014441364507757511, ""4"": 0.02582427211138822, ""5"": 0.010448101338348344}"
0,0.1,9.9,10.22,4,17,1022,1022,1.7989567664104926,40,0.9229136683373089,0.01845827336674618,46.31981978945898,16.15064298521136,2.200600623565381,2.993133873035187,7,"{""0"": 0.015587354460907457, ""1"": 0.011571935397556011, ""2"": 0.030443716767061015, ""3"": 0.015125520250665877, ""4"": 0.02976114190059246, ""5"": 0.008259971423694269}"
0,0.1,9.9,10.22,4,17,1022,1022,1.7989567664104926,45,0.8617145017809227,0.017234290035618455,83.15751853657748,16.236014132272352,2.1658144406468187,3.042140041092579,7,"{""0"": 0.013473334212655489, ""1"": 0.01050835132548848, ""2"": 0.022907615019794776, ""3"": 0.012413817370225988, ""4"": 0.031053579176576362, ""5"": 0.013049043108969632}"
0,0.1,9.9,10.22,4,17,1022,1022,1.7989567664104926,50,0.8885106552917589,0.01777021310583518,43.63027215289964,16.21891145786518,2.165082767202638,3.233308377176295,7,"{""0"": 0.01917850277055705, ""1"": 0.011493750740167195, ""2"": 0.019414405404742617, ""3"": 0.013258455948976594, ""4"": 0.03168054152676762, ""5"": 0.011595622243800008}"
